,service_date,day_type,bus,rail_boardings,total_rides
49,02/20/2018,W,786356,718493,1504849
50,06/30/2014,W,766381,697417,1463798
51,05/12/2003,W,956974,580553,1537527
52,03/12/2015,W,953310,790210,1743520
53,12/21/2007,W,1014168,563789,1577957
54,07/27/2017,W,770692,770016,1540708
55,12/26/2014,W,569843,422543,992386
56,04/15/2007,U,447385,250988,698373
57,04/16/2014,W,866995,757767,1624762
58,12/19/2010,U,404153,269162,673315
59,05/25/2020,U,170039,52921,222960
60,03/09/2003,U,335884,177874,513758
61,09/04/2001,W,1120482,625640,1746122
62,01/24/2013,W,958057,708729,1666786
63,10/03/2005,W,1137817,638813,1776630
64,02/05/2005,A,670035,312338,982373
65,10/12/2014,U,389901,549571,939472
66,02/08/2009,U,469249,245082,714331
67,08/21/2012,W,989240,725406,1714646
68,08/14/2021,A,294345,252710,547055
69,11/25/2015,W,735265,667707,1402972
70,03/10/2003,W,916661,573635,1490296
71,12/01/2022,W,494028,351763,845791
72,01/11/2002,W,1006535,591718,1598253
73,03/28/2018,W,719691,695373,1415064
74,07/20/2011,W,908375,711617,1619992
75,01/27/2003,W,922033,564295,1486328
76,10/19/2004,W,1021166,624056,1645222
77,03/26/2024,W,514563,359360,873923
78,02/05/2008,W,1058756,632513,1691269
79,12/30/2013,W,604796,537971,1142767
80,02/25/2024,U,280214,175446,455660
81,07/22/2021,W,390531,275892,666423
82,02/03/2017,W,782899,690415,1473314
83,07/09/2017,U,400539,402561,803100
84,04/29/2002,W,1001321,584792,1586113
85,12/05/2003,W,968576,606672,1575248
86,05/06/2011,W,1054724,732966,1787690
87,11/08/2019,W,718820,702518,1421338
88,03/28/2015,A,539031,429689,968720
89,01/21/2002,W,648994,392312,1041306
90,04/21/2023,W,505681,360742,866423
91,02/25/2018,U,347690,292093,639783
92,08/19/2015,W,801496,768950,1570446
93,03/14/2006,W,1000900,629929,1630829
94,03/26/2009,W,1053676,633781,1687457
95,12/03/2024,W,607733,405908,1013641
96,03/20/2019,W,782960,712714,1495674
97,05/06/2024,W,597540,379559,977099
98,08/27/2022,A,313588,249105,562693
99,01/04/2009,U,402180,213098,615278
100,02/28/2016,U,385121,323758,708879
101,06/11/2014,W,870560,761366,1631926
102,01/28/2022,W,310477,229809,540286
103,06/19/2006,W,880777,608854,1489631
104,01/23/2020,W,768601,717469,1486070
105,04/26/2015,U,419729,352658,772387
106,06/14/2004,W,947940,569479,1517419
107,07/12/2024,W,548479,381120,929599
108,12/29/2016,W,593626,532909,1126535
109,11/12/2015,W,879349,820988,1700337
110,04/22/2004,W,904333,597088,1501421
111,09/10/2023,U,297306,247808,545114
112,07/07/2002,U,445916,256321,702237
113,07/10/2003,W,893195,614469,1507664
114,04/06/2019,A,487323,414140,901463
115,10/05/2021,W,469691,317319,787010
116,05/27/2009,W,1026962,648266,1675228
117,03/04/2005,W,1027003,589864,1616867
118,05/16/2020,A,204433,60144,264577
119,03/28/2016,W,842760,731858,1574618
120,06/22/2005,W,890705,607690,1498395
121,02/18/2005,W,983784,582874,1566658
122,05/24/2019,W,749827,681443,1431270
123,05/07/2019,W,805130,738981,1544111
124,04/23/2019,W,806358,747351,1553709
125,09/27/2019,W,734962,699996,1434958
126,02/27/2017,W,837214,720932,1558146
127,05/29/2001,W,1003029,595375,1598404
128,10/28/2006,A,622775,364159,986934
129,11/03/2021,W,481029,327770,808799
130,01/24/2020,W,745526,677320,1422846
131,01/12/2022,W,364308,214250,578558
132,12/26/2019,W,517911,402948,920859
133,04/01/2006,A,620450,348344,968794
134,08/20/2016,A,480928,445798,926726
135,11/29/2004,W,962243,588392,1550635
136,07/29/2006,A,593188,423092,1016280
137,05/20/2004,W,971148,604798,1575946
138,06/03/2007,U,461358,263646,725004
139,09/11/2024,W,655564,452664,1108228
140,06/27/2016,W,753543,723488,1477031
141,01/18/2008,W,959859,585432,1545291
142,11/06/2007,W,1063193,655389,1718582
143,08/18/2016,W,740297,743427,1483724
144,04/28/2003,W,962103,582145,1544248
145,05/07/2014,W,967197,773634,1740831
146,11/11/2016,W,715260,721083,1436343
147,12/26/2012,W,616049,428605,1044654
148,07/22/2022,W,426586,323821,750407
149,03/23/2022,W,411053,285528,696581
150,01/28/2013,W,1000004,718545,1718549
151,04/12/2016,W,886265,777658,1663923
152,03/05/2006,U,363219,208605,571824
153,03/24/2021,W,320929,168422,489351
154,05/13/2012,U,455430,321345,776775
155,02/08/2013,W,994675,723430,1718105
156,05/02/2014,W,981085,794448,1775533
157,03/17/2018,A,471682,607823,1079505
158,09/18/2012,W,1009476,774593,1784069
159,01/21/2005,W,968823,591645,1560468
160,04/20/2020,W,225938,79017,304955
161,11/11/2006,A,591773,376391,968164
162,04/17/2022,U,183837,139738,323575
163,01/19/2006,W,983087,634043,1617130
164,02/16/2021,W,206197,114830,321027
165,12/31/2010,W,609114,391713,1000827
166,10/08/2001,W,802729,531294,1334023
167,06/19/2010,A,673052,472662,1145714
168,02/16/2003,U,365939,188276,554215
169,05/08/2015,W,916218,780602,1696820
170,05/24/2013,W,1010765,676692,1687457
171,07/16/2002,W,946077,621832,1567909
172,07/19/2008,A,675968,342834,1018802
173,12/22/2016,W,747188,635174,1382362
174,12/08/2019,U,347917,286023,633940
175,01/27/2008,U,413581,213177,626758
176,10/05/2014,U,420636,353400,774036
177,08/11/2006,W,909305,638056,1547361
178,09/09/2015,W,966510,821823,1788333
179,11/04/2020,W,306904,151147,458051
180,07/26/2018,W,758033,781151,1539184
181,02/02/2023,W,488230,339244,827474
182,12/30/2010,W,754297,524961,1279258
183,05/27/2010,W,995700,697901,1693601
184,08/09/2010,W,902342,647949,1550291
185,10/28/2024,W,611041,389359,1000400
186,11/14/2007,W,1073985,652294,1726279
187,12/17/2012,W,953565,683683,1637248
188,12/26/2024,W,366721,225335,592056
189,08/01/2016,W,805970,779020,1584990
190,09/10/2006,U,379770,245048,624818
191,12/21/2019,A,454167,356991,811158
192,06/22/2019,A,485555,468890,954445
193,01/28/2003,W,952120,598146,1550266
194,10/08/2016,A,537610,546072,1083682
195,04/18/2004,U,423705,227626,651331
196,01/18/2011,W,991055,678327,1669382
197,12/10/2006,U,406068,237226,643294
198,11/19/2022,A,253918,231052,484970
199,01/25/2022,W,352155,234112,586267
200,03/07/2014,W,958096,769821,1727917
201,11/20/2006,W,1022880,638117,1660997
202,08/12/2018,U,372421,371962,744383
203,04/14/2021,W,320689,173838,494527
204,09/30/2020,W,320186,169305,489491
205,08/29/2017,W,783337,763274,1546611
206,07/19/2006,W,911699,687896,1599595
207,12/20/2024,W,509530,326711,836241
208,08/09/2023,W,501770,394563,896333
209,12/12/2013,W,864926,722404,1587330
210,09/20/2009,U,480835,292572,773407
211,04/16/2006,U,324770,181980,506750
212,02/24/2024,A,345189,225233,570422
213,05/07/2001,W,1007381,598338,1605719
214,09/23/2021,W,464140,327671,791811
215,04/06/2024,A,397658,286304,683962
216,10/15/2010,W,1067602,753653,1821255
217,08/13/2003,W,875224,614427,1489651
218,03/04/2024,W,556051,334107,890158
219,01/09/2004,W,929117,560519,1489636
220,09/02/2014,W,952266,773307,1725573
221,12/11/2018,W,817284,731059,1548343
222,01/09/2016,A,469539,391597,861136
223,08/29/2001,W,901782,625324,1527106
224,05/28/2016,A,500775,532343,1033118
225,11/23/2010,W,1006493,698730,1705223
226,01/13/2017,W,771359,698254,1469613
227,06/12/2013,W,969474,718831,1688305
228,01/08/2003,W,1011812,592758,1604570
229,05/21/2007,W,1039954,614276,1654230
230,04/09/2021,W,330542,186985,517527
231,10/10/2011,W,857528,669173,1526701
232,11/24/2019,U,358133,301849,659982
233,01/28/2012,A,621329,419586,1040915
234,09/24/2016,A,539037,529457,1068494
235,01/25/2020,A,408051,320905,728956
236,05/27/2019,U,298987,256757,555744
237,12/15/2004,W,974391,584961,1559352
238,09/11/2007,W,1108582,679973,1788555
239,11/06/2023,W,568672,375471,944143
240,12/26/2009,A,464351,237093,701444
241,04/14/2022,W,408379,316347,724726
242,10/17/2004,U,444240,243898,688138
243,09/21/2006,W,1044501,696162,1740663
244,02/21/2017,W,848951,741773,1590724
245,04/28/2015,W,941909,789018,1730927
246,03/11/2021,W,318121,165057,483178
247,07/14/2002,U,433166,239865,673031
248,06/09/2023,W,476837,381247,858084
249,06/27/2021,U,219887,176898,396785
250,11/17/2017,W,836442,779012,1615454
251,01/06/2016,W,853904,733167,1587071
252,09/04/2010,A,671418,475332,1146750
253,12/08/2024,U,310160,216292,526452
254,04/15/2019,W,694149,679904,1374053
255,01/14/2014,W,923401,761893,1685294
256,09/05/2016,U,399846,347259,747105
257,10/16/2015,W,936818,855252,1792070
258,07/10/2004,A,593638,305695,899333
259,09/06/2015,U,452841,452445,905286
260,02/10/2013,U,392914,278417,671331
261,12/16/2020,W,269375,138422,407797
262,01/16/2019,W,800537,728048,1528585
263,08/05/2011,W,968013,822093,1790106
264,07/04/2008,U,606974,421170,1028144
265,01/07/2015,W,508815,509075,1017890
266,01/14/2002,W,985931,593642,1579573
267,06/11/2018,W,781557,724255,1505812
268,01/24/2014,W,763075,680260,1443335
269,06/18/2016,A,526402,520856,1047258
270,09/11/2004,A,637407,355835,993242
271,12/11/2017,W,807879,706163,1514042
272,09/27/2023,W,583749,427267,1011016
273,10/02/2017,W,877992,767540,1645532
274,05/18/2021,W,338267,195305,533572
275,05/09/2022,W,456324,296458,752782
276,06/10/2021,W,374697,246542,621239
277,01/28/2019,W,668192,678810,1347002
278,04/07/2019,U,331229,276992,608221
279,03/03/2021,W,333410,163566,496976
280,04/17/2011,U,452131,306186,758317
281,02/26/2003,W,939161,588630,1527791
282,04/12/2009,U,423274,228889,652163
283,06/19/2018,W,779092,768531,1547623
284,01/05/2010,W,970860,589044,1559904
285,05/04/2016,W,879217,767760,1646977
286,05/24/2002,W,995434,576461,1571895
287,04/04/2015,A,582015,427101,1009116
288,03/22/2003,A,577660,292329,869989
289,04/18/2007,W,1030970,617779,1648749
290,05/22/2017,W,817334,744257,1561591
291,03/10/2021,W,312074,161736,473810
292,08/04/2004,W,867932,556467,1424399
293,01/24/2006,W,972893,634204,1607097
294,09/06/2022,W,523472,365689,889161
295,02/11/2016,W,866884,752703,1619587
296,11/15/2016,W,881225,797235,1678460
297,11/26/2008,W,1032378,599978,1632356
298,09/01/2004,W,973679,597386,1571065
299,05/30/2007,W,1055384,637763,1693147
300,04/19/2006,W,984239,652275,1636514
301,07/25/2001,W,874776,612547,1487323
302,08/12/2010,W,908352,666665,1575017
303,06/11/2005,A,647313,413642,1060955
304,12/28/2016,W,611176,537443,1148619
305,06/17/2023,A,372865,295909,668774
306,08/31/2003,U,396860,242605,639465
307,09/21/2005,W,1085278,685975,1771253
308,05/09/2003,W,992211,616706,1608917
309,05/07/2007,W,1059535,610376,1669911
310,02/28/2019,W,783920,714700,1498620
311,08/13/2012,W,862334,675894,1538228
312,10/27/2023,W,503840,373004,876844
313,12/04/2007,W,1082140,625524,1707664
314,01/09/2017,W,781139,692776,1473915
315,06/19/2011,U,479157,352290,831447
316,08/29/2023,W,585643,418817,1004460
317,07/15/2007,U,489228,289728,778956
318,11/29/2010,W,974393,658026,1632419
319,04/29/2013,W,1009306,717625,1726931
320,09/11/2017,W,861907,767744,1629651
321,12/11/2008,W,1059298,653239,1712537
322,06/05/2005,U,448366,236960,685326
323,02/26/2018,W,825842,718649,1544491
324,03/03/2006,W,1021045,620890,1641935
325,08/28/2008,W,1022254,678635,1700889
326,07/25/2009,A,693104,467927,1161031
327,10/07/2007,U,450253,394647,844900
328,04/17/2015,W,936814,818272,1755086
329,08/09/2015,U,414942,384961,799903
330,08/15/2007,W,906121,603458,1509579
331,06/07/2006,W,1012230,666040,1678270
332,01/17/2020,W,737073,687789,1424862
333,07/18/2012,W,947611,737720,1685331
334,03/14/2021,U,163299,97387,260686
335,08/11/2022,W,444736,337937,782673
336,07/19/2016,W,795162,797424,1592586
337,03/05/2007,W,861145,558483,1419628
338,10/30/2013,W,967902,791183,1759085
339,01/06/2010,W,980962,598511,1579473
340,06/27/2014,W,879565,793688,1673253
341,05/01/2016,U,376131,334275,710406
342,06/03/2014,W,936306,812230,1748536
343,06/01/2003,U,422827,245291,668118
344,04/10/2007,W,1048978,629888,1678866
345,05/14/2014,W,916259,749500,1665759
346,07/19/2003,A,619480,324535,944015
347,02/28/2014,W,936301,745915,1682216
348,03/02/2004,W,992418,597880,1590298
349,07/26/2012,W,945792,720070,1665862
350,11/30/2002,A,525319,255100,780419
351,11/24/2005,U,265869,149351,415220
352,09/15/2009,W,1115027,729171,1844198
353,03/09/2019,A,409779,326686,736465
354,08/12/2005,W,929636,606537,1536173
355,09/08/2011,W,1058730,770455,1829185
356,09/28/2020,W,299874,158980,458854
357,07/03/2007,W,1048504,848262,1896766
358,06/05/2014,W,910818,797899,1708717
359,03/01/2015,U,383971,293964,677935
360,10/27/2003,W,990268,620687,1610955
361,09/19/2020,A,240028,135343,375371
362,01/13/2024,A,286037,183824,469861
363,10/25/2001,W,947047,618401,1565448
364,08/13/2021,W,396567,277082,673649
365,01/28/2006,A,568287,314425,882712
366,10/19/2023,W,579587,433975,1013562
367,10/18/2019,W,762811,778466,1541277
368,02/06/2015,W,959648,768091,1727739
369,02/02/2015,W,632367,563770,1196137
370,12/12/2004,U,388481,205786,594267
371,05/11/2009,W,1019002,620480,1639482
372,02/24/2015,W,901872,728674,1630546
373,05/02/2001,W,1034088,627894,1661982
374,12/24/2011,A,509237,262788,772025
375,08/22/2002,W,829797,533893,1363690
376,10/23/2012,W,1043067,784378,1827445
377,02/01/2007,W,1007882,616420,1624302
378,04/21/2017,W,819393,753932,1573325
379,05/29/2006,U,381213,245203,626416
380,02/01/2008,W,911151,593534,1504685
381,02/18/2007,U,394698,226617,621315
382,07/15/2008,W,1088616,655456,1744072
383,10/18/2009,U,494901,296936,791837
384,02/22/2024,W,587867,396466,984333
385,06/10/2011,W,991111,699233,1690344
386,03/13/2002,W,1022145,615718,1637863
387,07/23/2009,W,959920,673917,1633837
388,06/30/2023,W,473836,378120,851956
389,11/07/2021,U,211114,177817,388931
390,02/21/2016,U,378769,311190,689959
391,08/27/2014,W,874420,768933,1643353
392,10/22/2010,W,987323,727707,1715030
393,12/17/2013,W,883958,716650,1600608
394,03/20/2001,W,1034388,618340,1652728
395,03/04/2001,U,385978,178292,564270
396,12/17/2023,U,271335,184885,456220
397,01/04/2022,W,343163,202963,546126
398,11/16/2019,A,467987,398924,866911
399,12/23/2007,U,347895,184560,532455
400,07/20/2010,W,938739,692212,1630951
401,10/08/2003,W,1026066,693316,1719382
402,11/24/2013,U,362949,311868,674817
403,10/31/2009,A,698324,406844,1105168
404,03/26/2006,U,433649,234862,668511
405,10/06/2007,A,693470,430713,1124183
406,02/03/2016,W,925655,772821,1698476
407,10/14/2017,A,376288,368266,744554
408,09/18/2013,W,1023243,783471,1806714
409,10/12/2024,A,427732,369877,797609
410,02/23/2014,U,392042,315317,707359
411,10/18/2006,W,1035671,687285,1722956
412,02/26/2005,A,603707,304026,907733
413,05/01/2004,A,577088,282452,859540
414,07/20/2004,W,896643,606660,1503303
415,05/20/2009,W,1085546,664197,1749743
416,09/16/2022,W,508567,431965,940532
417,10/20/2013,U,417109,367355,784464
418,03/10/2007,A,645222,343183,988405
419,03/04/2011,W,1019568,681216,1700784
420,07/28/2010,W,908070,667607,1575677
